"","country.code","region","gdp","component","stimulus","check"
"340","TUR","OECD+",771350330455.267,"General.spending",1.2e+07,0.0155571334142261
"341","TZA","MAF",58001200572.3965,"General.spending",384400000,6.62744902185595
"342","UGA","MAF",27461440192.3549,"General.spending",369300000,13.4479472821972
"343","UKR","REF",130832374404.882,"General.spending",8444700088,64.5459514620327
"344","URY","LAM",59596885024.3487,"General.spending",8e+08,13.4235203681057
"345","USA","OECD+",20544343456936.5,"General.spending",2.139e+09,0.104116250026856
"346","UZB","REF",50499921557.5105,"General.spending",0,0
"347","VEN","LAM",NA,"General.spending",0,NA
"348","VNM","ASIA",245213686369.157,"General.spending",11990062849.13,48.8963851352063
"349","WSM","OECD+",820491798.30076,"General.spending",25625367.67,31.2317170300425
"350","ZAF","MAF",368288939768.322,"General.spending",1.7e+07,0.0461594095404932
"351","ZMB","MAF",26720073435.9014,"General.spending",252434867.6,9.44738674485922
"352","ZWE","MAF",31000519447.175,"General.spending",2e+06,0.0645150479948572
"353","AFG","ASIA",19362969582.3643,"Liquidity.support",0,0
"354","AGO","MAF",105750987618.63,"Liquidity.support",0,0
"355","ALB","OECD+",15102500898.238,"Liquidity.support",240764891.5,15.9420544400093
"356","ARE","MAF",414178942592.479,"Liquidity.support",0,0
"357","ARG","LAM",519871519807.795,"Liquidity.support",8300000,0.0159654831698968
"358","ARM","REF",12433089919.0459,"Liquidity.support",0,0
"359","AUS","OECD+",1433904348500.12,"Liquidity.support",2.3e+07,0.0160401215213959
"360","AUT","OECD+",455285818035.125,"Liquidity.support",9782608.7,0.0214867415423102
"361","AZE","REF",46939529411.7647,"Liquidity.support",0,0
"362","BDI","MAF",3036931818.18182,"Liquidity.support",0,0
"363","BEL","OECD+",542761092103.469,"Liquidity.support",56521739130,104.137418750762
"364","BEN","MAF",10354274634.9108,"Liquidity.support",0,0
"365","BFA","MAF",14124775068.569,"Liquidity.support",0,0
"366","BGD","ASIA",274024958965.892,"Liquidity.support",6230066638,22.7353984889218
"367","BGR","OECD+",65132951116.4756,"Liquidity.support",0,0
"368","BHR","MAF",37746196808.5106,"Liquidity.support",0,0
"369","BHS","LAM",12424500000,"Liquidity.support",2e+07,1.60972272526057
"370","BIH","OECD+",20161865419.4327,"Liquidity.support",301752802.2,14.9665120722986
"371","BLR","REF",59662495092.2654,"Liquidity.support",0,0
"372","BLZ","LAM",1871203164.08274,"Liquidity.support",0,0
"373","BOL","LAM",40287647756.8741,"Liquidity.support",0,0
"374","BRA","LAM",1868626087908.48,"Liquidity.support",7.1e+07,0.0379958304443181
